idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
1,Notre-Dame-des-Champs,23,1 pièce,1946-1970,Meublée,32.5,32.8,22.8,23.0,39.0,39.4
1,Saint-Thomas-d'Aquin,25,1 pièce,1946-1970,Meublée,32.5,32.8,22.8,23.0,39.0,39.4
1,Invalides,26,1 pièce,1946-1970,Meublée,32.5,32.8,22.8,23.0,39.0,39.4
1,Ecole-Militaire,27,1 pièce,1946-1970,Meublée,32.5,32.8,22.8,23.0,39.0,39.4
1,Gros-Caillou,28,1 pièce,1946-1970,Meublée,32.5,32.8,22.8,23.0,39.0,39.4
2,St-Germain-l'Auxerrois,1,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
2,Palais-Royal,3,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
2,Place-Vendôme,4,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
2,Gaillon,5,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
2,Saint-Merri,13,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
2,Arsenal,15,1 pièce,1946-1970,Meublée,34.9,35.3,24.4,24.7,41.9,42.4
